cnmc_code,canonical_description,category_id,category_name,sector,standard_uom,duplicate_count,affected_cpses,specifications
CNMC-BRG-DGBB-6306-2RS1-00011,DEEP GROOVE BALL BEARING 30X72X19MM RUBBER SEALS BOTH SIDES C3 CLEARANCE ISO 15 IS 6455,MRO-BEARINGS,MRO-BEARINGS,Refining & Petrochemicals,EA,1,CPSE-IOCL,"{""spec_text"": ""DEEP GROOVE BALL BEARING 30X72X19MM RUBBER SEALS BOTH SIDES C3 CLEARANCE ISO 15 IS 6455""}"
CNMC-VLV-GATE-4INCH-150#-WCB-00012,GATE VALVE 4 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY WCB TRIM 8 API 600 / API 602 / ASME B16.34,PIPING-VALVES,PIPING-VALVES,Coal Mining & Extraction,EA,1,CPSE-CIL,"{""spec_text"": ""GATE VALVE 4 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY WCB TRIM 8 API 600 / API 602 / ASME B16.34""}"
CNMC-ELE-MCB-32A-3P-C-00013,MINIATURE CIRCUIT BREAKER 32A 3P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1,ELECTRICAL-SWITCHGEAR,ELECTRICAL-SWITCHGEAR,Oil & Gas Upstream,EA,1,CPSE-ONGC,"{""spec_text"": ""MINIATURE CIRCUIT BREAKER 32A 3P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1""}"
CNMC-VLV-BALL-1INCH-300#-CF8M-00014,3-PIECE BALL VALVE FULL BORE 1 INCH CLASS 300# FLANGED BODY CF8M PTFE SEAT LEVER OPERATED BS 5351 / ASME B16.34,PIPING-VALVES,PIPING-VALVES,Gas Transmission & Petrochem,EA,1,CPSE-GAIL,"{""spec_text"": ""3-PIECE BALL VALVE FULL BORE 1 INCH CLASS 300# FLANGED BODY CF8M PTFE SEAT LEVER OPERATED BS 5351 / ASME B16.34""}"
CNMC-PIPE-4INCH-SCH40-ASTMA106GRB-00015,SEAMLESS PIPE SIZE 4 INCH WALL THICKNESS SCH40 MATERIAL ASTM A106 GR B ASME B36.10M / B36.19M,PIPING-TUBES,PIPING-TUBES,Coal Mining & Extraction,MTR,1,CPSE-CIL,"{""spec_text"": ""SEAMLESS PIPE SIZE 4 INCH WALL THICKNESS SCH40 MATERIAL ASTM A106 GR B ASME B36.10M / B36.19M""}"
CNMC-CBL-HTXLPE-3CX240SQMM-11KV-00016,11KV GRADE 3C X 240 SQMM STRANDED ALUMINIUM CONDUCTOR XLPE INSULATED GALVANIZED STEEL ARMOURED PVC SHEATHED IS 7098,ELECTRICAL-CABLES,ELECTRICAL-CABLES,Heavy Electrical Engineering,MTR,3,"CPSE-BHEL, CPSE-ONGC, CPSE-SAIL","{""spec_text"": ""11KV GRADE 3C X 240 SQMM STRANDED ALUMINIUM CONDUCTOR XLPE INSULATED GALVANIZED STEEL ARMOURED PVC SHEATHED IS 7098""}"
CNMC-INS-RTD-PT100-SIMPLEX-200MM-00017,RESISTANCE TEMPERATURE DETECTOR SIMPLEX PT100 3-WIRE CLASS A SHEATH OD 6MM LENGTH 200MM SS316 IEC 60751,INSTRUMENTATION-CONTROL,INSTRUMENTATION-CONTROL,Thermal Power Generation,EA,1,CPSE-NTPC,"{""spec_text"": ""RESISTANCE TEMPERATURE DETECTOR SIMPLEX PT100 3-WIRE CLASS A SHEATH OD 6MM LENGTH 200MM SS316 IEC 60751""}"
CNMC-INS-GAUGE-0-25KGCM2-100MM-00018,INDUSTRIAL BOURDON TUBE PRESSURE GAUGE RANGE 0-25 KG/CM2 DIAL 100MM BOTTOM MOUNT 1/2 INCH NPT CASE SS304 IP65 ASME B40.100,INSTRUMENTATION-CONTROL,INSTRUMENTATION-CONTROL,Gas Transmission & Petrochem,EA,2,"CPSE-GAIL, CPSE-ONGC","{""spec_text"": ""INDUSTRIAL BOURDON TUBE PRESSURE GAUGE RANGE 0-25 KG/CM2 DIAL 100MM BOTTOM MOUNT 1/2 INCH NPT CASE SS304 IP65 ASME B40.100""}"
CNMC-BRG-SPH-22314K-NORMAL-00019,SPHERICAL ROLLER BEARING 70X150X51MM TAPERED BORE 1:12 NORMAL CLEARANCE BRASS CAGE DIN 635 / ISO 15,MRO-BEARINGS,MRO-BEARINGS,Thermal Power Generation,EA,1,CPSE-NTPC,"{""spec_text"": ""SPHERICAL ROLLER BEARING 70X150X51MM TAPERED BORE 1:12 NORMAL CLEARANCE BRASS CAGE DIN 635 / ISO 15""}"
CNMC-ELE-CONT-32A-3TF34-230V-00020,3-POLE POWER CONTACTOR 32A AC-3 415V CONTROL COIL 230V AC 50HZ 1NO+1NC CONTACTS IEC 60947-4-1,ELECTRICAL-SWITCHGEAR,ELECTRICAL-SWITCHGEAR,Heavy Electrical Engineering,EA,1,CPSE-BHEL,"{""spec_text"": ""3-POLE POWER CONTACTOR 32A AC-3 415V CONTROL COIL 230V AC 50HZ 1NO+1NC CONTACTS IEC 60947-4-1""}"
CNMC-ROT-COUPLINGSET-SIZEHRC-180-00021,CENTRIFUGAL PUMP SPARE COUPLING SET SIZE SIZE HRC-180 SPECIFICATION RUBBER INSERT FG260 API 610 / API 682 COMPLIANT,PUMPS-ROTATING-SPARES,PUMPS-ROTATING-SPARES,Coal Mining & Extraction,SET,2,"CPSE-CIL, CPSE-IOCL","{""spec_text"": ""CENTRIFUGAL PUMP SPARE COUPLING SET SIZE SIZE HRC-180 SPECIFICATION RUBBER INSERT FG260 API 610 / API 682 COMPLIANT""}"
CNMC-FAS-BOLT-M12X40MM-8.8-00022,HEXAGONAL HEAD BOLT HIGH TENSILE M12 X 40MM LENGTH PROPERTY CLASS 8.8 IS 1364 / ISO 4014 GALVANIZED,HARDWARE-FASTENERS,HARDWARE-FASTENERS,Thermal Power Generation,NO,1,CPSE-NTPC,"{""spec_text"": ""HEXAGONAL HEAD BOLT HIGH TENSILE M12 X 40MM LENGTH PROPERTY CLASS 8.8 IS 1364 / ISO 4014 GALVANIZED""}"
CNMC-BRG-SPH-22218K-NORMAL-00023,SPHERICAL ROLLER BEARING 90X160X40MM TAPERED BORE 1:12 NORMAL CLEARANCE BRASS CAGE DIN 635 / ISO 15,MRO-BEARINGS,MRO-BEARINGS,Heavy Electrical Engineering,EA,1,CPSE-BHEL,"{""spec_text"": ""SPHERICAL ROLLER BEARING 90X160X40MM TAPERED BORE 1:12 NORMAL CLEARANCE BRASS CAGE DIN 635 / ISO 15""}"
CNMC-FLTR-CART-10MICRON-20INCH-PP-00024,SPUN BONDED CARTRIDGE FILTER RATING 10 MICRON LENGTH 20 INCH MATERIAL PP DOE TYPE FOR INDUSTRIAL PROCESS LIQUIDS,FILTERS-CONSUMABLES,FILTERS-CONSUMABLES,Refining & Petrochemicals,EA,2,"CPSE-IOCL, CPSE-NTPC","{""spec_text"": ""SPUN BONDED CARTRIDGE FILTER RATING 10 MICRON LENGTH 20 INCH MATERIAL PP DOE TYPE FOR INDUSTRIAL PROCESS LIQUIDS""}"
CNMC-ROT-PUMPIMPELLER-DIA250MM-00025,CENTRIFUGAL PUMP SPARE PUMP IMPELLER SIZE DIA 250MM SPECIFICATION ASTM A351 CF8M API 610 / API 682 COMPLIANT,PUMPS-ROTATING-SPARES,PUMPS-ROTATING-SPARES,Thermal Power Generation,EA,1,CPSE-NTPC,"{""spec_text"": ""CENTRIFUGAL PUMP SPARE PUMP IMPELLER SIZE DIA 250MM SPECIFICATION ASTM A351 CF8M API 610 / API 682 COMPLIANT""}"
CNMC-ELE-MCB-32A-4P-C-00026,MINIATURE CIRCUIT BREAKER 32A 4P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1,ELECTRICAL-SWITCHGEAR,ELECTRICAL-SWITCHGEAR,Refining & Petrochemicals,EA,1,CPSE-IOCL,"{""spec_text"": ""MINIATURE CIRCUIT BREAKER 32A 4P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1""}"
CNMC-FAS-STUD-1-14INCHX200MM-B7-2H-00027,HIGH TENSILE ALLOY STEEL STUD BOLT 1-1/4 INCH X 200MM ASTM A193 B7 WITH 2 HEAVY HEX NUTS ASTM A194 2H,HARDWARE-FASTENERS,HARDWARE-FASTENERS,Heavy Electrical Engineering,SET,1,CPSE-BHEL,"{""spec_text"": ""HIGH TENSILE ALLOY STEEL STUD BOLT 1-1/4 INCH X 200MM ASTM A193 B7 WITH 2 HEAVY HEX NUTS ASTM A194 2H""}"
CNMC-VLV-BALL-4INCH-150#-CF8M-00028,3-PIECE BALL VALVE FULL BORE 4 INCH CLASS 150# FLANGED BODY CF8M PTFE SEAT LEVER OPERATED BS 5351 / ASME B16.34,PIPING-VALVES,PIPING-VALVES,Thermal Power Generation,EA,1,CPSE-NTPC,"{""spec_text"": ""3-PIECE BALL VALVE FULL BORE 4 INCH CLASS 150# FLANGED BODY CF8M PTFE SEAT LEVER OPERATED BS 5351 / ASME B16.34""}"
CNMC-VLV-GATE-4INCH-150#-WCB-00029,GATE VALVE 4 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY WCB TRIM 8 API 600 / API 602 / ASME B16.34,PIPING-VALVES,PIPING-VALVES,Heavy Electrical Engineering,EA,1,CPSE-BHEL,"{""spec_text"": ""GATE VALVE 4 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY WCB TRIM 8 API 600 / API 602 / ASME B16.34""}"
CNMC-VLV-GATE-3INCH-150#-WCB-00030,GATE VALVE 3 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY WCB TRIM 8 API 600 / API 602 / ASME B16.34,PIPING-VALVES,PIPING-VALVES,Heavy Electrical Engineering,EA,1,CPSE-BHEL,"{""spec_text"": ""GATE VALVE 3 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY WCB TRIM 8 API 600 / API 602 / ASME B16.34""}"
CNMC-BRG-SPH-22318K-C3-00031,SPHERICAL ROLLER BEARING 90X190X64MM TAPERED BORE 1:12 C3 CLEARANCE BRASS CAGE DIN 635 / ISO 15,MRO-BEARINGS,MRO-BEARINGS,Refining & Petrochemicals,EA,1,CPSE-IOCL,"{""spec_text"": ""SPHERICAL ROLLER BEARING 90X190X64MM TAPERED BORE 1:12 C3 CLEARANCE BRASS CAGE DIN 635 / ISO 15""}"
CNMC-BRG-DGBB-6205-ZZ-00032,DEEP GROOVE BALL BEARING 25X52X15MM METAL SHIELDS BOTH SIDES C3 CLEARANCE ISO 15 IS 6455,MRO-BEARINGS,MRO-BEARINGS,Steel & Metals,EA,1,CPSE-SAIL,"{""spec_text"": ""DEEP GROOVE BALL BEARING 25X52X15MM METAL SHIELDS BOTH SIDES C3 CLEARANCE ISO 15 IS 6455""}"
CNMC-VLV-GATE-1INCH-150#-A105-00033,GATE VALVE 1 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY A105 TRIM 8 API 600 / API 602 / ASME B16.34,PIPING-VALVES,PIPING-VALVES,Refining & Petrochemicals,EA,2,CPSE-IOCL,"{""spec_text"": ""GATE VALVE 1 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY A105 TRIM 8 API 600 / API 602 / ASME B16.34""}"
CNMC-VLV-GATE-2INCH-600#-A105-00034,GATE VALVE 2 INCH CLASS 600# FLANGED RF OS&Y RISING STEM BODY A105 TRIM 8 API 600 / API 602 / ASME B16.34,PIPING-VALVES,PIPING-VALVES,Oil & Gas Upstream,EA,1,CPSE-ONGC,"{""spec_text"": ""GATE VALVE 2 INCH CLASS 600# FLANGED RF OS&Y RISING STEM BODY A105 TRIM 8 API 600 / API 602 / ASME B16.34""}"
CNMC-BRG-DGBB-6210-OPEN-00035,DEEP GROOVE BALL BEARING 50X90X20MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455,MRO-BEARINGS,MRO-BEARINGS,Coal Mining & Extraction,EA,1,CPSE-CIL,"{""spec_text"": ""DEEP GROOVE BALL BEARING 50X90X20MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455""}"
CNMC-FAS-BOLT-M16X80MM-8.8-00036,HEXAGONAL HEAD BOLT HIGH TENSILE M16 X 80MM LENGTH PROPERTY CLASS 8.8 IS 1364 / ISO 4014 GALVANIZED,HARDWARE-FASTENERS,HARDWARE-FASTENERS,Steel & Metals,NO,1,CPSE-SAIL,"{""spec_text"": ""HEXAGONAL HEAD BOLT HIGH TENSILE M16 X 80MM LENGTH PROPERTY CLASS 8.8 IS 1364 / ISO 4014 GALVANIZED""}"
CNMC-CBL-LTXLPE-4CX16SQMM-1.1KV-00037,1.1KV GRADE 4C X 16 SQMM STRANDED ALUMINIUM CONDUCTOR XLPE INSULATED GALVANIZED STEEL ARMOURED PVC SHEATHED IS 7098,ELECTRICAL-CABLES,ELECTRICAL-CABLES,Steel & Metals,MTR,1,CPSE-SAIL,"{""spec_text"": ""1.1KV GRADE 4C X 16 SQMM STRANDED ALUMINIUM CONDUCTOR XLPE INSULATED GALVANIZED STEEL ARMOURED PVC SHEATHED IS 7098""}"
CNMC-BRG-DGBB-6306-ZZ-00038,DEEP GROOVE BALL BEARING 30X72X19MM METAL SHIELDS BOTH SIDES C3 CLEARANCE ISO 15 IS 6455,MRO-BEARINGS,MRO-BEARINGS,Oil & Gas Upstream,EA,1,CPSE-ONGC,"{""spec_text"": ""DEEP GROOVE BALL BEARING 30X72X19MM METAL SHIELDS BOTH SIDES C3 CLEARANCE ISO 15 IS 6455""}"
CNMC-FLTR-CART-10MICRON-20INCH-PP-00039,SPUN BONDED CARTRIDGE FILTER RATING 10 MICRON LENGTH 20 INCH MATERIAL PP DOE TYPE FOR INDUSTRIAL PROCESS LIQUIDS,FILTERS-CONSUMABLES,FILTERS-CONSUMABLES,Gas Transmission & Petrochem,EA,1,CPSE-GAIL,"{""spec_text"": ""SPUN BONDED CARTRIDGE FILTER RATING 10 MICRON LENGTH 20 INCH MATERIAL PP DOE TYPE FOR INDUSTRIAL PROCESS LIQUIDS""}"
CNMC-INS-GAUGE-0-100KGCM2-150MM-00040,INDUSTRIAL BOURDON TUBE PRESSURE GAUGE RANGE 0-100 KG/CM2 DIAL 150MM BOTTOM MOUNT 1/2 INCH NPT CASE SS304 IP65 ASME B40.100,INSTRUMENTATION-CONTROL,INSTRUMENTATION-CONTROL,Steel & Metals,EA,1,CPSE-SAIL,"{""spec_text"": ""INDUSTRIAL BOURDON TUBE PRESSURE GAUGE RANGE 0-100 KG/CM2 DIAL 150MM BOTTOM MOUNT 1/2 INCH NPT CASE SS304 IP65 ASME B40.100""}"
CNMC-BRG-SPH-22316-NORMAL-00041,SPHERICAL ROLLER BEARING 80X170X58MM CYLINDRICAL BORE NORMAL CLEARANCE BRASS CAGE DIN 635 / ISO 15,MRO-BEARINGS,MRO-BEARINGS,Oil & Gas Upstream,EA,2,"CPSE-NTPC, CPSE-ONGC","{""spec_text"": ""SPHERICAL ROLLER BEARING 80X170X58MM CYLINDRICAL BORE NORMAL CLEARANCE BRASS CAGE DIN 635 / ISO 15""}"
CNMC-CBL-LTXLPE-4CX50SQMM-1.1KV-00042,1.1KV GRADE 4C X 50 SQMM STRANDED ALUMINIUM CONDUCTOR XLPE INSULATED GALVANIZED STEEL ARMOURED PVC SHEATHED IS 7098,ELECTRICAL-CABLES,ELECTRICAL-CABLES,Refining & Petrochemicals,MTR,1,CPSE-IOCL,"{""spec_text"": ""1.1KV GRADE 4C X 50 SQMM STRANDED ALUMINIUM CONDUCTOR XLPE INSULATED GALVANIZED STEEL ARMOURED PVC SHEATHED IS 7098""}"
CNMC-BRG-DGBB-6312-2RS1-00043,DEEP GROOVE BALL BEARING 60X130X31MM RUBBER SEALS BOTH SIDES C3 CLEARANCE ISO 15 IS 6455,MRO-BEARINGS,MRO-BEARINGS,Thermal Power Generation,EA,1,CPSE-NTPC,"{""spec_text"": ""DEEP GROOVE BALL BEARING 60X130X31MM RUBBER SEALS BOTH SIDES C3 CLEARANCE ISO 15 IS 6455""}"
CNMC-VLV-GATE-6INCH-150#-WCB-00044,GATE VALVE 6 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY WCB TRIM 8 API 600 / API 602 / ASME B16.34,PIPING-VALVES,PIPING-VALVES,Gas Transmission & Petrochem,EA,1,CPSE-GAIL,"{""spec_text"": ""GATE VALVE 6 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY WCB TRIM 8 API 600 / API 602 / ASME B16.34""}"
CNMC-INS-GAUGE-0-40KGCM2-100MM-00045,INDUSTRIAL BOURDON TUBE PRESSURE GAUGE RANGE 0-40 KG/CM2 DIAL 100MM BOTTOM MOUNT 1/2 INCH NPT CASE SS304 IP65 ASME B40.100,INSTRUMENTATION-CONTROL,INSTRUMENTATION-CONTROL,Oil & Gas Upstream,EA,1,CPSE-ONGC,"{""spec_text"": ""INDUSTRIAL BOURDON TUBE PRESSURE GAUGE RANGE 0-40 KG/CM2 DIAL 100MM BOTTOM MOUNT 1/2 INCH NPT CASE SS304 IP65 ASME B40.100""}"
CNMC-ELE-MCB-10A-1P-C-00046,MINIATURE CIRCUIT BREAKER 10A 1P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1,ELECTRICAL-SWITCHGEAR,ELECTRICAL-SWITCHGEAR,Thermal Power Generation,EA,1,CPSE-NTPC,"{""spec_text"": ""MINIATURE CIRCUIT BREAKER 10A 1P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1""}"
CNMC-FLTR-CART-10MICRON-20INCH-PP-00047,SPUN BONDED CARTRIDGE FILTER RATING 10 MICRON LENGTH 20 INCH MATERIAL PP DOE TYPE FOR INDUSTRIAL PROCESS LIQUIDS,FILTERS-CONSUMABLES,FILTERS-CONSUMABLES,Steel & Metals,EA,1,CPSE-SAIL,"{""spec_text"": ""SPUN BONDED CARTRIDGE FILTER RATING 10 MICRON LENGTH 20 INCH MATERIAL PP DOE TYPE FOR INDUSTRIAL PROCESS LIQUIDS""}"
CNMC-ELE-MCB-32A-4P-C-00048,MINIATURE CIRCUIT BREAKER 32A 4P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1,ELECTRICAL-SWITCHGEAR,ELECTRICAL-SWITCHGEAR,Steel & Metals,EA,2,"CPSE-NTPC, CPSE-SAIL","{""spec_text"": ""MINIATURE CIRCUIT BREAKER 32A 4P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1""}"
CNMC-INS-XMTR-DIFFPRESSURE-0-2500MMWC-4-20MAHART-00049,SMART DIFF PRESSURE TRANSMITTER RANGE 0-2500 MMWC OUTPUT 4-20MA HART DIAPHRAGM SS316L PROCESS CONN 1/2 INCH NPT ACCURACY 0.065%,INSTRUMENTATION-CONTROL,INSTRUMENTATION-CONTROL,Heavy Electrical Engineering,EA,1,CPSE-BHEL,"{""spec_text"": ""SMART DIFF PRESSURE TRANSMITTER RANGE 0-2500 MMWC OUTPUT 4-20MA HART DIAPHRAGM SS316L PROCESS CONN 1/2 INCH NPT ACCURACY 0.065%""}"
CNMC-BRG-SPH-22318K-C3-00050,SPHERICAL ROLLER BEARING 90X190X64MM TAPERED BORE 1:12 C3 CLEARANCE BRASS CAGE DIN 635 / ISO 15,MRO-BEARINGS,MRO-BEARINGS,Steel & Metals,EA,2,CPSE-SAIL,"{""spec_text"": ""SPHERICAL ROLLER BEARING 90X190X64MM TAPERED BORE 1:12 C3 CLEARANCE BRASS CAGE DIN 635 / ISO 15""}"
CNMC-PIPE-2INCH-SCH40S-ASTMA312TP316L-00051,SEAMLESS PIPE SIZE 2 INCH WALL THICKNESS SCH40S MATERIAL ASTM A312 TP316L ASME B36.10M / B36.19M,PIPING-TUBES,PIPING-TUBES,Thermal Power Generation,MTR,1,CPSE-NTPC,"{""spec_text"": ""SEAMLESS PIPE SIZE 2 INCH WALL THICKNESS SCH40S MATERIAL ASTM A312 TP316L ASME B36.10M / B36.19M""}"
CNMC-FLG-BLRF-4INCH-150#-A105-00052,FORGED CARBON STEEL FLANGE BLRF SIZE 4 INCH CLASS 150# ASTM A105 ASME B16.5,PIPING-FITTINGS,PIPING-FITTINGS,Refining & Petrochemicals,EA,1,CPSE-IOCL,"{""spec_text"": ""FORGED CARBON STEEL FLANGE BLRF SIZE 4 INCH CLASS 150# ASTM A105 ASME B16.5""}"
CNMC-BRG-SPH-22222-C3-00053,SPHERICAL ROLLER BEARING 110X200X53MM CYLINDRICAL BORE C3 CLEARANCE BRASS CAGE DIN 635 / ISO 15,MRO-BEARINGS,MRO-BEARINGS,Thermal Power Generation,EA,1,CPSE-NTPC,"{""spec_text"": ""SPHERICAL ROLLER BEARING 110X200X53MM CYLINDRICAL BORE C3 CLEARANCE BRASS CAGE DIN 635 / ISO 15""}"
CNMC-BRG-SPH-22220K-NORMAL-00054,SPHERICAL ROLLER BEARING 100X180X46MM TAPERED BORE 1:12 NORMAL CLEARANCE BRASS CAGE DIN 635 / ISO 15,MRO-BEARINGS,MRO-BEARINGS,Coal Mining & Extraction,EA,3,"CPSE-CIL, CPSE-IOCL, CPSE-ONGC","{""spec_text"": ""SPHERICAL ROLLER BEARING 100X180X46MM TAPERED BORE 1:12 NORMAL CLEARANCE BRASS CAGE DIN 635 / ISO 15""}"
CNMC-VLV-CHECK-4INCH-150#-WCB-00055,SWING CHECK NON RETURN VALVE 4 INCH CLASS 150# FLANGED RF BODY WCB TRIM 8 BS 1868 / ASME B16.34,PIPING-VALVES,PIPING-VALVES,Thermal Power Generation,EA,1,CPSE-NTPC,"{""spec_text"": ""SWING CHECK NON RETURN VALVE 4 INCH CLASS 150# FLANGED RF BODY WCB TRIM 8 BS 1868 / ASME B16.34""}"
CNMC-ELE-CONT-70A-3TF48-230V-00056,3-POLE POWER CONTACTOR 70A AC-3 415V CONTROL COIL 230V AC 50HZ 1NO+1NC CONTACTS IEC 60947-4-1,ELECTRICAL-SWITCHGEAR,ELECTRICAL-SWITCHGEAR,Refining & Petrochemicals,EA,1,CPSE-IOCL,"{""spec_text"": ""3-POLE POWER CONTACTOR 70A AC-3 415V CONTROL COIL 230V AC 50HZ 1NO+1NC CONTACTS IEC 60947-4-1""}"
CNMC-ELE-MCCB-630A-3P-50KA-00057,MOULDED CASE CIRCUIT BREAKER 630A 3P 415V AC 50KA THERMAL MAGNETIC TRIP UNIT IEC 60947-2,ELECTRICAL-SWITCHGEAR,ELECTRICAL-SWITCHGEAR,Coal Mining & Extraction,EA,2,"CPSE-CIL, CPSE-ONGC","{""spec_text"": ""MOULDED CASE CIRCUIT BREAKER 630A 3P 415V AC 50KA THERMAL MAGNETIC TRIP UNIT IEC 60947-2""}"
CNMC-VLV-BALL-3INCH-150#-WCB-00058,3-PIECE BALL VALVE FULL BORE 3 INCH CLASS 150# FLANGED BODY WCB PTFE SEAT LEVER OPERATED BS 5351 / ASME B16.34,PIPING-VALVES,PIPING-VALVES,Heavy Electrical Engineering,EA,1,CPSE-BHEL,"{""spec_text"": ""3-PIECE BALL VALVE FULL BORE 3 INCH CLASS 150# FLANGED BODY WCB PTFE SEAT LEVER OPERATED BS 5351 / ASME B16.34""}"
