source_material_code,cpse_id,sector,plant_code,raw_description,cleaned_description,cnmc_code,canonical_description,category_id,standard_uom,source_uom,match_type,match_confidence,review_status,issue_flag,unit_price_inr,current_stock_qty,annual_procurement_qty
MAT-589248,CPSE-NTPC,Thermal Power Generation,NTPC-VINDHYACHAL-STPS-4760MW,STUD BOLT 3/4 INCH X 140MM B7 W/2NUTS 2H,stud bolt 3/4 inch x 140mm b7 w/2nuts 2h,CNMC-FAS-STUD-34INCHX140MM-B7-2H-00010,HIGH TENSILE ALLOY STEEL STUD BOLT 3/4 INCH X 140MM ASTM A193 B7 WITH 2 HEAVY HEX NUTS ASTM A194 2H,HARDWARE-FASTENERS,SET,SET,UNIQUE,1.0,AUTO_APPROVED,,455.16,44,188
MAT-752365,CPSE-IOCL,Refining & Petrochemicals,IOCL-PARADIP-REFINERY,BEARING BALL 6306 2RS1 C3,bearing ball 6306 2rs1 c3,CNMC-BRG-DGBB-6306-2RS1-00011,DEEP GROOVE BALL BEARING 30X72X19MM RUBBER SEALS BOTH SIDES C3 CLEARANCE ISO 15 IS 6455,MRO-BEARINGS,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,758.39,10,29
MAT-545159,CPSE-CIL,Coal Mining & Extraction,CIL-NCL-SINGRAULI-MINES,GATE VALVE 4 INCH 150# WCB FLGD,gate valve 4 inch 150# wcb flgd,CNMC-VLV-GATE-4INCH-150#-WCB-00012,GATE VALVE 4 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY WCB TRIM 8 API 600 / API 602 / ASME B16.34,PIPING-VALVES,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,27317.81,0,5
MAT-634803,CPSE-ONGC,Oil & Gas Upstream,ONGC-RAJAHMUNDRY-ASSET,MCB 32A 3P C CURVE 10KA,mcb 32a 3p c curve 10ka,CNMC-ELE-MCB-32A-3P-C-00013,MINIATURE CIRCUIT BREAKER 32A 3P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1,ELECTRICAL-SWITCHGEAR,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,1221.63,1,6
MAT-690672,CPSE-GAIL,Gas Transmission & Petrochem,GAIL-VIJAIPUR-COMPRESSOR,BALL VALVE 1 INCH 300# CF8M FLGD,ball valve 1 inch 300# cf8m flgd,CNMC-VLV-BALL-1INCH-300#-CF8M-00014,3-PIECE BALL VALVE FULL BORE 1 INCH CLASS 300# FLANGED BODY CF8M PTFE SEAT LEVER OPERATED BS 5351 / ASME B16.34,PIPING-VALVES,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,5058.98,3,15
MAT-678155,CPSE-CIL,Coal Mining & Extraction,CIL-MCL-SAMBALPUR-MINES,PIPE SMLS CS 4 INCH SCH40 ASTM A106 GR B,pipe smls cs 4 inch sch40 astm a106 gr b,CNMC-PIPE-4INCH-SCH40-ASTMA106GRB-00015,SEAMLESS PIPE SIZE 4 INCH WALL THICKNESS SCH40 MATERIAL ASTM A106 GR B ASME B36.10M / B36.19M,PIPING-TUBES,MTR,MTR,UNIQUE,1.0,AUTO_APPROVED,,1863.21,2,10
MAT-701547,CPSE-SAIL,Steel & Metals,SAIL-BOKARO-STEEL-PLANT,CABLE HT XLPE 11KV 3C X 240 SQMM AL ARMD,cable ht xlpe 11kv 3c x 240 sqmm al armd,CNMC-CBL-HTXLPE-3CX240SQMM-11KV-00016,11KV GRADE 3C X 240 SQMM STRANDED ALUMINIUM CONDUCTOR XLPE INSULATED GALVANIZED STEEL ARMOURED PVC SHEATHED IS 7098,ELECTRICAL-CABLES,MTR,MTR,EXACT_DUPLICATE,0.95,AUTO_APPROVED,PRICE_SPREAD_WARNING,3994.46,8,31
MAT-184807,CPSE-ONGC,Oil & Gas Upstream,ONGC-MUMBAI-HIGH-OFFSHORE,CABLE HT XLPE 11KV 3C X 240 SQMM AL ARMD,cable ht xlpe 11kv 3c x 240 sqmm al armd,CNMC-CBL-HTXLPE-3CX240SQMM-11KV-00016,11KV GRADE 3C X 240 SQMM STRANDED ALUMINIUM CONDUCTOR XLPE INSULATED GALVANIZED STEEL ARMOURED PVC SHEATHED IS 7098,ELECTRICAL-CABLES,MTR,MTR,EXACT_DUPLICATE,0.95,AUTO_APPROVED,PRICE_SPREAD_WARNING,3814.15,4,11
MAT-410122,CPSE-BHEL,Heavy Electrical Engineering,BHEL-TRICHY-BOILER-PLANT,Cable Ht Xlpe 11Kv 3C X 240 Sqmm Al Armd,cable ht xlpe 11kv 3c x 240 sqmm al armd,CNMC-CBL-HTXLPE-3CX240SQMM-11KV-00016,11KV GRADE 3C X 240 SQMM STRANDED ALUMINIUM CONDUCTOR XLPE INSULATED GALVANIZED STEEL ARMOURED PVC SHEATHED IS 7098,ELECTRICAL-CABLES,MTR,MTR,EXACT_DUPLICATE,0.95,AUTO_APPROVED,PRICE_SPREAD_WARNING,4036.47,2,7
MAT-490122,CPSE-NTPC,Thermal Power Generation,NTPC-KORBA-SUPER-THERMAL,RTD PT100 SIMPLEX CL-A 6X200MM,rtd pt100 simplex cl-a 6x200mm,CNMC-INS-RTD-PT100-SIMPLEX-200MM-00017,RESISTANCE TEMPERATURE DETECTOR SIMPLEX PT100 3-WIRE CLASS A SHEATH OD 6MM LENGTH 200MM SS316 IEC 60751,INSTRUMENTATION-CONTROL,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,2355.56,16,79
MAT-465129,CPSE-GAIL,Gas Transmission & Petrochem,GAIL-VIJAIPUR-COMPRESSOR,PRESSURE GAUGE 0-25 KG/CM2 DIAL 100MM,pressure gauge 0-25 kg/cm2 dial 100mm,CNMC-INS-GAUGE-0-25KGCM2-100MM-00018,INDUSTRIAL BOURDON TUBE PRESSURE GAUGE RANGE 0-25 KG/CM2 DIAL 100MM BOTTOM MOUNT 1/2 INCH NPT CASE SS304 IP65 ASME B40.100,INSTRUMENTATION-CONTROL,EA,EA,EXACT_DUPLICATE,0.95,AUTO_APPROVED,PRICE_SPREAD_WARNING,2770.3,8,20
MAT-710683,CPSE-ONGC,Oil & Gas Upstream,ONGC-ANKLESHWAR-ASSET,PRESS GAUGE 0-25 KG/CM2 DIAL 100MM,press gauge 0-25 kg/cm2 dial 100mm,CNMC-INS-GAUGE-0-25KGCM2-100MM-00018,INDUSTRIAL BOURDON TUBE PRESSURE GAUGE RANGE 0-25 KG/CM2 DIAL 100MM BOTTOM MOUNT 1/2 INCH NPT CASE SS304 IP65 ASME B40.100,INSTRUMENTATION-CONTROL,EA,EA,EXACT_DUPLICATE,0.95,AUTO_APPROVED,PRICE_SPREAD_WARNING,2802.94,5,25
MAT-613277,CPSE-NTPC,Thermal Power Generation,NTPC-RAMAGUNDAM-STPS-2600MW,BEARING SPH ROLLER 22314K NORMAL,bearing sph roller 22314k normal,CNMC-BRG-SPH-22314K-NORMAL-00019,SPHERICAL ROLLER BEARING 70X150X51MM TAPERED BORE 1:12 NORMAL CLEARANCE BRASS CAGE DIN 635 / ISO 15,MRO-BEARINGS,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,11223.35,2,7
MAT-709723,CPSE-BHEL,Heavy Electrical Engineering,BHEL-BHOPAL-HEP,CONTACTOR 32A 3P 230VAC 3TF34,contactor 32a 3p 230vac 3tf34,CNMC-ELE-CONT-32A-3TF34-230V-00020,3-POLE POWER CONTACTOR 32A AC-3 415V CONTROL COIL 230V AC 50HZ 1NO+1NC CONTACTS IEC 60947-4-1,ELECTRICAL-SWITCHGEAR,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,3590.31,6,15
MAT-621251,CPSE-CIL,Coal Mining & Extraction,CIL-SECL-BILASPUR-MINES,COUPLING SET SIZE HRC-180 RUBBER INSERT ,coupling set size hrc-180 rubber insert ,CNMC-ROT-COUPLINGSET-SIZEHRC-180-00021,CENTRIFUGAL PUMP SPARE COUPLING SET SIZE SIZE HRC-180 SPECIFICATION RUBBER INSERT FG260 API 610 / API 682 COMPLIANT,PUMPS-ROTATING-SPARES,SET,SET,EXACT_DUPLICATE,0.95,AUTO_APPROVED,PRICE_SPREAD_WARNING,4954.66,4,26
MAT-951091,CPSE-IOCL,Refining & Petrochemicals,IOCL-PANIPAT-REFINERY,COUPLING SET SIZE HRC-180 RUBBER INSERT,coupling set size hrc-180 rubber insert,CNMC-ROT-COUPLINGSET-SIZEHRC-180-00021,CENTRIFUGAL PUMP SPARE COUPLING SET SIZE SIZE HRC-180 SPECIFICATION RUBBER INSERT FG260 API 610 / API 682 COMPLIANT,PUMPS-ROTATING-SPARES,SET,SET,EXACT_DUPLICATE,0.95,AUTO_APPROVED,PRICE_SPREAD_WARNING,4747.81,2,9
MAT-435471,CPSE-NTPC,Thermal Power Generation,NTPC-RAMAGUNDAM-STPS-2600MW,HEX HEAD BOLT M12 X 40MM GR 8.8,hex head bolt m12 x 40mm gr 8.8,CNMC-FAS-BOLT-M12X40MM-8.8-00022,HEXAGONAL HEAD BOLT HIGH TENSILE M12 X 40MM LENGTH PROPERTY CLASS 8.8 IS 1364 / ISO 4014 GALVANIZED,HARDWARE-FASTENERS,NO,NO,UNIQUE,1.0,AUTO_APPROVED,,31.48,138,350
MAT-930335,CPSE-BHEL,Heavy Electrical Engineering,BHEL-TRICHY-BOILER-PLANT,BEARING SPH ROLLER 22218K NORMAL,bearing sph roller 22218k normal,CNMC-BRG-SPH-22218K-NORMAL-00023,SPHERICAL ROLLER BEARING 90X160X40MM TAPERED BORE 1:12 NORMAL CLEARANCE BRASS CAGE DIN 635 / ISO 15,MRO-BEARINGS,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,7376.18,4,15
MAT-455721,CPSE-IOCL,Refining & Petrochemicals,IOCL-PARADIP-REFINERY,CARTRIDGE FILTER 10 MICRON 20 INCH PP,cartridge filter 10 micron 20 inch pp,CNMC-FLTR-CART-10MICRON-20INCH-PP-00024,SPUN BONDED CARTRIDGE FILTER RATING 10 MICRON LENGTH 20 INCH MATERIAL PP DOE TYPE FOR INDUSTRIAL PROCESS LIQUIDS,FILTERS-CONSUMABLES,EA,EA,EXACT_DUPLICATE,0.95,AUTO_APPROVED,PRICE_SPREAD_WARNING,494.15,61,213
MAT-503511,CPSE-NTPC,Thermal Power Generation,NTPC-RAMAGUNDAM-STPS-2600MW,"CARTRIDGE FILTER 10 MICRON 20 "" PP","cartridge filter 10 micron 20 "" pp",CNMC-FLTR-CART-10MICRON-20INCH-PP-00024,SPUN BONDED CARTRIDGE FILTER RATING 10 MICRON LENGTH 20 INCH MATERIAL PP DOE TYPE FOR INDUSTRIAL PROCESS LIQUIDS,FILTERS-CONSUMABLES,EA,EA,EXACT_DUPLICATE,0.95,AUTO_APPROVED,PRICE_SPREAD_WARNING,546.12,55,171
MAT-729985,CPSE-NTPC,Thermal Power Generation,NTPC-VINDHYACHAL-STPS-4760MW,PUMP IMPELLER DIA 250MM ASTM A351 CF8M,pump impeller dia 250mm astm a351 cf8m,CNMC-ROT-PUMPIMPELLER-DIA250MM-00025,CENTRIFUGAL PUMP SPARE PUMP IMPELLER SIZE DIA 250MM SPECIFICATION ASTM A351 CF8M API 610 / API 682 COMPLIANT,PUMPS-ROTATING-SPARES,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,34964.71,5,13
MAT-299998,CPSE-IOCL,Refining & Petrochemicals,IOCL-MATHURA-REFINERY,MCB 32A 4P C CURVE 10KA,mcb 32a 4p c curve 10ka,CNMC-ELE-MCB-32A-4P-C-00026,MINIATURE CIRCUIT BREAKER 32A 4P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1,ELECTRICAL-SWITCHGEAR,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,1788.22,8,24
MAT-233269,CPSE-BHEL,Heavy Electrical Engineering,BHEL-TRICHY-BOILER-PLANT,STUD BOLT 1-1/4 INCH X 200MM B7 W/2NUTS ,stud bolt 1-1/4 inch x 200mm b7 w/2nuts ,CNMC-FAS-STUD-1-14INCHX200MM-B7-2H-00027,HIGH TENSILE ALLOY STEEL STUD BOLT 1-1/4 INCH X 200MM ASTM A193 B7 WITH 2 HEAVY HEX NUTS ASTM A194 2H,HARDWARE-FASTENERS,SET,SET,UNIQUE,1.0,AUTO_APPROVED,,1518.22,47,124
MAT-402340,CPSE-NTPC,Thermal Power Generation,NTPC-KORBA-SUPER-THERMAL,BALL VALVE 4 INCH 150# CF8M FLGD,ball valve 4 inch 150# cf8m flgd,CNMC-VLV-BALL-4INCH-150#-CF8M-00028,3-PIECE BALL VALVE FULL BORE 4 INCH CLASS 150# FLANGED BODY CF8M PTFE SEAT LEVER OPERATED BS 5351 / ASME B16.34,PIPING-VALVES,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,34344.06,2,7
MAT-269527,CPSE-BHEL,Heavy Electrical Engineering,BHEL-TRICHY-BOILER-PLANT,GATE VALVE 4 INCH 150# WCB FLGD,gate valve 4 inch 150# wcb flgd,CNMC-VLV-GATE-4INCH-150#-WCB-00029,GATE VALVE 4 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY WCB TRIM 8 API 600 / API 602 / ASME B16.34,PIPING-VALVES,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,26637.81,3,9
MAT-445867,CPSE-BHEL,Heavy Electrical Engineering,BHEL-TRICHY-BOILER-PLANT,GATE VALVE 3 INCH 150# WCB FLGD,gate valve 3 inch 150# wcb flgd,CNMC-VLV-GATE-3INCH-150#-WCB-00030,GATE VALVE 3 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY WCB TRIM 8 API 600 / API 602 / ASME B16.34,PIPING-VALVES,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,16811.08,8,28
MAT-581642,CPSE-IOCL,Refining & Petrochemicals,IOCL-MATHURA-REFINERY,BEARING SPH ROLLER 22318K C3,bearing sph roller 22318k c3,CNMC-BRG-SPH-22318K-C3-00031,SPHERICAL ROLLER BEARING 90X190X64MM TAPERED BORE 1:12 C3 CLEARANCE BRASS CAGE DIN 635 / ISO 15,MRO-BEARINGS,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,24632.68,2,5
MAT-258459,CPSE-SAIL,Steel & Metals,SAIL-IISCO-BURNPUR,BEARING BALL 6205 ZZ C3,bearing ball 6205 zz c3,CNMC-BRG-DGBB-6205-ZZ-00032,DEEP GROOVE BALL BEARING 25X52X15MM METAL SHIELDS BOTH SIDES C3 CLEARANCE ISO 15 IS 6455,MRO-BEARINGS,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,343.52,2,8
MAT-679100,CPSE-IOCL,Refining & Petrochemicals,IOCL-HALDIA-REFINERY,GATE VALVE 1 INCH 150# A105 FLGD,gate valve 1 inch 150# a105 flgd,CNMC-VLV-GATE-1INCH-150#-A105-00033,GATE VALVE 1 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY A105 TRIM 8 API 600 / API 602 / ASME B16.34,PIPING-VALVES,EA,EA,EXACT_DUPLICATE,0.95,AUTO_APPROVED,PRICE_SPREAD_WARNING,5336.04,9,28
MAT-859426,CPSE-IOCL,Refining & Petrochemicals,IOCL-MATHURA-REFINERY,GATE VLV 1 INCH 150# A105 FLGD,gate vlv 1 inch 150# a105 flgd,CNMC-VLV-GATE-1INCH-150#-A105-00033,GATE VALVE 1 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY A105 TRIM 8 API 600 / API 602 / ASME B16.34,PIPING-VALVES,EA,EA,EXACT_DUPLICATE,0.95,AUTO_APPROVED,PRICE_SPREAD_WARNING,5733.52,13,44
MAT-787968,CPSE-ONGC,Oil & Gas Upstream,ONGC-URAN-PROCESSING-PLANT,GATE VALVE 2 INCH 600# A105 FLGD,gate valve 2 inch 600# a105 flgd,CNMC-VLV-GATE-2INCH-600#-A105-00034,GATE VALVE 2 INCH CLASS 600# FLANGED RF OS&Y RISING STEM BODY A105 TRIM 8 API 600 / API 602 / ASME B16.34,PIPING-VALVES,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,25481.81,10,28
MAT-833304,CPSE-CIL,Coal Mining & Extraction,CIL-SECL-BILASPUR-MINES,BEARING BALL 6210 OPEN C3,bearing ball 6210 open c3,CNMC-BRG-DGBB-6210-OPEN-00035,DEEP GROOVE BALL BEARING 50X90X20MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455,MRO-BEARINGS,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,1089.86,4,22
MAT-692204,CPSE-SAIL,Steel & Metals,SAIL-IISCO-BURNPUR,HEX HEAD BOLT M16 X 80MM GR 8.8,hex head bolt m16 x 80mm gr 8.8,CNMC-FAS-BOLT-M16X80MM-8.8-00036,HEXAGONAL HEAD BOLT HIGH TENSILE M16 X 80MM LENGTH PROPERTY CLASS 8.8 IS 1364 / ISO 4014 GALVANIZED,HARDWARE-FASTENERS,NO,NO,UNIQUE,1.0,AUTO_APPROVED,,95.85,42,212
MAT-369115,CPSE-SAIL,Steel & Metals,SAIL-DURGAPUR-STEEL-PLANT,CABLE LT XLPE 1.1KV 4C X 16 SQMM AL ARMD,cable lt xlpe 1.1kv 4c x 16 sqmm al armd,CNMC-CBL-LTXLPE-4CX16SQMM-1.1KV-00037,1.1KV GRADE 4C X 16 SQMM STRANDED ALUMINIUM CONDUCTOR XLPE INSULATED GALVANIZED STEEL ARMOURED PVC SHEATHED IS 7098,ELECTRICAL-CABLES,MTR,MTR,UNIQUE,1.0,AUTO_APPROVED,,397.37,2,7
MAT-700087,CPSE-ONGC,Oil & Gas Upstream,ONGC-ANKLESHWAR-ASSET,BEARING BALL 6306 ZZ C3,bearing ball 6306 zz c3,CNMC-BRG-DGBB-6306-ZZ-00038,DEEP GROOVE BALL BEARING 30X72X19MM METAL SHIELDS BOTH SIDES C3 CLEARANCE ISO 15 IS 6455,MRO-BEARINGS,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,716.99,2,13
MAT-159307,CPSE-GAIL,Gas Transmission & Petrochem,GAIL-VIJAIPUR-COMPRESSOR,CARTRIDGE FILTER 10 MICRON 20 INCH PP,cartridge filter 10 micron 20 inch pp,CNMC-FLTR-CART-10MICRON-20INCH-PP-00039,SPUN BONDED CARTRIDGE FILTER RATING 10 MICRON LENGTH 20 INCH MATERIAL PP DOE TYPE FOR INDUSTRIAL PROCESS LIQUIDS,FILTERS-CONSUMABLES,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,412.31,55,189
MAT-391462,CPSE-SAIL,Steel & Metals,SAIL-BOKARO-STEEL-PLANT,PRESSURE GAUGE 0-100 KG/CM2 DIAL 150MM,pressure gauge 0-100 kg/cm2 dial 150mm,CNMC-INS-GAUGE-0-100KGCM2-150MM-00040,INDUSTRIAL BOURDON TUBE PRESSURE GAUGE RANGE 0-100 KG/CM2 DIAL 150MM BOTTOM MOUNT 1/2 INCH NPT CASE SS304 IP65 ASME B40.100,INSTRUMENTATION-CONTROL,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,4359.38,18,57
MAT-621888,CPSE-NTPC,Thermal Power Generation,NTPC-DADRI-POWER-STATION,BEARING SPH ROLLER 22316 NORMAL,bearing sph roller 22316 normal,CNMC-BRG-SPH-22316-NORMAL-00041,SPHERICAL ROLLER BEARING 80X170X58MM CYLINDRICAL BORE NORMAL CLEARANCE BRASS CAGE DIN 635 / ISO 15,MRO-BEARINGS,EA,EA,EXACT_DUPLICATE,0.95,AUTO_APPROVED,PRICE_SPREAD_WARNING,18209.21,11,32
MAT-198381,CPSE-ONGC,Oil & Gas Upstream,ONGC-ANKLESHWAR-ASSET,BEARING SPH ROLLER 22316 NORMAL,bearing sph roller 22316 normal,CNMC-BRG-SPH-22316-NORMAL-00041,SPHERICAL ROLLER BEARING 80X170X58MM CYLINDRICAL BORE NORMAL CLEARANCE BRASS CAGE DIN 635 / ISO 15,MRO-BEARINGS,EA,EA,EXACT_DUPLICATE,0.95,AUTO_APPROVED,PRICE_SPREAD_WARNING,19210.96,1,5
MAT-754893,CPSE-IOCL,Refining & Petrochemicals,IOCL-PARADIP-REFINERY,CABLE LT XLPE 1.1KV 4C X 50 SQMM AL ARMD,cable lt xlpe 1.1kv 4c x 50 sqmm al armd,CNMC-CBL-LTXLPE-4CX50SQMM-1.1KV-00042,1.1KV GRADE 4C X 50 SQMM STRANDED ALUMINIUM CONDUCTOR XLPE INSULATED GALVANIZED STEEL ARMOURED PVC SHEATHED IS 7098,ELECTRICAL-CABLES,MTR,MTR,UNIQUE,1.0,AUTO_APPROVED,,1311.43,9,31
MAT-771053,CPSE-NTPC,Thermal Power Generation,NTPC-DADRI-POWER-STATION,BEARING BALL 6312 2RS1 C3,bearing ball 6312 2rs1 c3,CNMC-BRG-DGBB-6312-2RS1-00043,DEEP GROOVE BALL BEARING 60X130X31MM RUBBER SEALS BOTH SIDES C3 CLEARANCE ISO 15 IS 6455,MRO-BEARINGS,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,2970.54,4,18
MAT-792174,CPSE-GAIL,Gas Transmission & Petrochem,GAIL-VIJAIPUR-COMPRESSOR,GATE VALVE 6 INCH 150# WCB FLGD,gate valve 6 inch 150# wcb flgd,CNMC-VLV-GATE-6INCH-150#-WCB-00044,GATE VALVE 6 INCH CLASS 150# FLANGED RF OS&Y RISING STEM BODY WCB TRIM 8 API 600 / API 602 / ASME B16.34,PIPING-VALVES,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,40950.59,0,2
MAT-382012,CPSE-ONGC,Oil & Gas Upstream,ONGC-ANKLESHWAR-ASSET,PRESSURE GAUGE 0-40 KG/CM2 DIAL 100MM,pressure gauge 0-40 kg/cm2 dial 100mm,CNMC-INS-GAUGE-0-40KGCM2-100MM-00045,INDUSTRIAL BOURDON TUBE PRESSURE GAUGE RANGE 0-40 KG/CM2 DIAL 100MM BOTTOM MOUNT 1/2 INCH NPT CASE SS304 IP65 ASME B40.100,INSTRUMENTATION-CONTROL,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,3136.51,7,40
