material_id,cpse_name,sector,plant,legacy_material_code,material_description,short_description,material_category,material_subcategory,technical_specification,material_grade,size,manufacturer,manufacturer_part_number,uom,unit_price,currency,annual_consumption,lead_time_days,criticality,procurement_type,supplier,last_purchase_date,status,canonical_material_id,common_national_material_code,duplicate_group_id,equivalence_group_id,match_type,equivalence_label,standardized_description,standardized_specification
MAT-ST-000011,SAIL,Steel,SAIL-PLANT-04,ST-832817,E7018 Welding Electrode DIA 3.15 mm,E7018 Welding Electrode DIA 3.15 mm,Welding,Welding Electrode,AWS A5.1,E7018,3.15 mm,Precision Works,MP-35980,MTR,249983.27,INR,276,74,LOW,Rate Contract,Supplier D,2026-07-18,ACTIVE,CAN-ST-00776,NMC-ST-00776,DUP-ST-00800,EQ-ST-00800,NEAR_DUPLICATE,1,E7018 Welding Electrode 3.15 mm,AWS A5.1
MAT-ST-000012,NMDC,Steel,NMDC-PLANT-06,ST-219723,Helical Gearbox 15 kW 20:1,Helical Gearbox 15 kW 20:1,Gearboxes,Helical Gearbox,IEC 60034,15 kW,20:1,ABC Industries,MP-78135,M,222065.51,INR,4364,45,LOW,Domestic,Supplier C,2026-04-12,BLOCKED,CAN-ST-00279,NMC-ST-00279,DUP-ST-00800,EQ-ST-00800,NEAR_DUPLICATE,1,15 kW Helical Gearbox 20:1,IEC 60034
MAT-ST-000013,SAIL,Steel,SAIL-PLANT-03,ST-982368,Process Pump SMLS CS 80 m3/h,Process Pump SMLS CS 80 m3/h,Pumps,Process Pump,API 610,CS,80 m3/h,Bharat Engineering,MP-72079,KG,139954.79,INR,4280,57,MEDIUM,Domestic,Supplier D,2026-07-09,ACTIVE,CAN-ST-00663,NMC-ST-00663,DUP-ST-00800,EQ-ST-00800,NEAR_DUPLICATE,1,CS Process Pump 80 m3/h,API 610
MAT-ST-000014,MOIL,Steel,MOIL-PLANT-07,ST-627848,6312 ZZ Deep Groove Ball Bearing 6312,6312 ZZ Deep Groove Ball Bearing 6312,Bearings,Deep Groove Ball Bearing,ISO 15,6312 ZZ,6312,National Components,MP-37820,EA,107230.18,INR,3487,38,MEDIUM,Rate Contract,Supplier A,2025-07-12,ACTIVE,CAN-ST-00100,NMC-ST-00100,DUP-ST-00800,EQ-ST-00800,NEAR_DUPLICATE,1,6312 ZZ Deep Groove Ball Bearing 6312,ISO 15
MAT-ST-000015,NMDC,Steel,NMDC-PLANT-02,ST-519575,Hydraulic Hose SAE 100R2AT 1 inch,Hydraulic Hose SAE 100R2AT 1 inch,Hydraulics,Hydraulic Hose,SAE 100R2AT,SAE 100R2AT,1 inch,Precision Works,MP-73722,PC,188259.97,INR,3508,36,LOW,Imported,Supplier D,2024-03-04,ACTIVE,CAN-ST-00371,NMC-ST-00371,DUP-ST-00800,EQ-ST-00800,FUNCTIONALLY_EQUIVALENT,1,SAE 100R2AT Hydraulic Hose 1 inch,SAE 100R2AT
MAT-ST-000016,MOIL,Steel,MOIL-PLANT-07,ST-822220,Conveyor Belt SMLS EP1000/4 1200 mm,Conveyor Belt SMLS EP1000/4 1200 mm,Conveyors,Conveyor Belt,DIN 22102,EP1000/4,1200 mm,Precision Works,MP-28906,KG,195257.47,INR,992,55,CRITICAL,Imported,Supplier B,2026-01-15,ACTIVE,CAN-ST-00442,NMC-ST-00442,DUP-ST-00800,EQ-ST-00800,FUNCTIONALLY_EQUIVALENT,1,EP1000/4 Conveyor Belt 1200 mm,DIN 22102
MAT-ST-000017,RINL,Steel,RINL-PLANT-07,ST-162926,Induction Motor SMLS 415V 30 kW,Induction Motor SMLS 415V 30 kW,Motors,Induction Motor,IEC 60034,415V,30 kW,National Components,MP-86245,M,245145.25,INR,1878,8,HIGH,Imported,Supplier D,2023-06-21,ACTIVE,CAN-ST-00599,NMC-ST-00599,DUP-ST-00800,EQ-ST-00800,FUNCTIONALLY_EQUIVALENT,1,415V Induction Motor 30 kW,IEC 60034
MAT-ST-000018,NMDC,Steel,NMDC-PLANT-03,ST-107661,PROCESS PUMP - CS - 80 M3/H,PROCESS PUMP - CS - 80 M3/H,Pumps,Process Pump,API 610,CS,80 m3/h,ABC Industries,MP-12304,KG,189954.95,INR,3232,10,LOW,Imported,Supplier D,2026-07-28,BLOCKED,CAN-ST-00617,NMC-ST-00617,DUP-ST-00800,EQ-ST-00800,SIMILAR_NOT_EQUIVALENT,0,CS Process Pump 80 m3/h,API 610
MAT-ST-000019,MOIL,Steel,MOIL-PLANT-08,ST-447305,Process Pump SMLS CS 80 m3/h,Process Pump SMLS CS 80 m3/h,Pumps,Process Pump,API 610,CS,80 m3/h,National Components,MP-50113,NOS,85675.95,INR,2962,29,LOW,Imported,Supplier C,2024-03-05,ACTIVE,CAN-ST-00629,NMC-ST-00629,DUP-ST-00800,EQ-ST-00800,SIMILAR_NOT_EQUIVALENT,0,CS Process Pump 80 m3/h,API 610
MAT-ST-000020,RINL,Steel,RINL-PLANT-03,ST-273320,6312 ZZ Deep Groove Ball Bearing DIA 6312,6312 ZZ Deep Groove Ball Bearing DIA 631,Bearings,Deep Groove Ball Bearing,ISO 15,6312 ZZ,6312,Precision Works,MP-18378,LTR,218597.09,INR,4195,45,MEDIUM,Imported,Supplier C,2026-01-10,ACTIVE,CAN-ST-00031,NMC-ST-00031,DUP-ST-00800,EQ-ST-00800,UNRELATED,0,6312 ZZ Deep Groove Ball Bearing 6312,ISO 15
MAT-ST-000021,MOIL,Steel,MOIL-PLANT-01,ST-224719,Process Pump CS 80 m3/h,Process Pump CS 80 m3/h,Pumps,Process Pump,API 610,CS,80 m3/h,ABC Industries,MP-87068,NOS,22028.42,INR,4952,74,HIGH,Imported,Supplier C,2026-06-17,BLOCKED,CAN-ST-00617,NMC-ST-00617,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,CS Process Pump 80 m3/h,API 610
MAT-ST-000022,SAIL,Steel,SAIL-PLANT-01,ST-387942,Al2O3 >70% High Alumina Brick DIA 230x114x65 mm,Al2O3 >70% High Alumina Brick DIA 230x11,Refractories,High Alumina Brick,IS 8,Al2O3 >70%,230x114x65 mm,ABC Industries,MP-64017,PC,237819.83,INR,3549,32,CRITICAL,Imported,Supplier D,2025-08-20,BLOCKED,CAN-ST-00157,NMC-ST-00157,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,Al2O3 >70% High Alumina Brick 230x114x65 mm,IS 8
MAT-ST-000023,SAIL,Steel,SAIL-PLANT-06,ST-513797,"Conveyor Belt, EP1000/4, 1200 mm","Conveyor Belt, EP1000/4, 1200 mm",Conveyors,Conveyor Belt,DIN 22102,EP1000/4,1200 mm,OEM Equivalent,MP-90201,EA,103012.73,INR,3895,7,HIGH,Rate Contract,Supplier C,2023-05-05,ACTIVE,CAN-ST-00481,NMC-ST-00481,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,EP1000/4 Conveyor Belt 1200 mm,DIN 22102
MAT-ST-000024,NMDC,Steel,NMDC-PLANT-03,ST-748052,Process Pump CS 80 m3/h,Process Pump CS 80 m3/h,Pumps,Process Pump,API 610,CS,80 m3/h,Precision Works,MP-19767,MTR,106087.49,INR,250,6,LOW,Domestic,Supplier B,2024-02-26,ACTIVE,CAN-ST-00638,NMC-ST-00638,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,CS Process Pump 80 m3/h,API 610
MAT-ST-000025,SAIL,Steel,SAIL-PLANT-02,ST-874402,SAE 100R2AT Hydraulic Hose DIA 1 inch,SAE 100R2AT Hydraulic Hose DIA 1 inch,Hydraulics,Hydraulic Hose,SAE 100R2AT,SAE 100R2AT,1 inch,Bharat Engineering,MP-89321,LTR,123339.6,INR,109,79,HIGH,Imported,Supplier D,2022-11-13,ACTIVE,CAN-ST-00361,NMC-ST-00361,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,SAE 100R2AT Hydraulic Hose 1 inch,SAE 100R2AT
MAT-ST-000026,RINL,Steel,RINL-PLANT-06,ST-486509,Conveyor Belt - EP1000/4 - 1200 mm,Conveyor Belt - EP1000/4 - 1200 mm,Conveyors,Conveyor Belt,DIN 22102,EP1000/4,1200 mm,OEM Equivalent,MP-57155,KG,181631.05,INR,3577,20,CRITICAL,Imported,Supplier D,2025-04-15,BLOCKED,CAN-ST-00468,NMC-ST-00468,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,EP1000/4 Conveyor Belt 1200 mm,DIN 22102
MAT-ST-000027,SAIL,Steel,SAIL-PLANT-08,ST-783533,Al2O3 >70% High Alumina Brick DIA 230x114x65 mm,Al2O3 >70% High Alumina Brick DIA 230x11,Refractories,High Alumina Brick,IS 8,Al2O3 >70%,230x114x65 mm,Precision Works,MP-66211,MTR,197832.54,INR,1999,49,HIGH,Domestic,Supplier A,2026-02-26,BLOCKED,CAN-ST-00107,NMC-ST-00107,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,Al2O3 >70% High Alumina Brick 230x114x65 mm,IS 8
MAT-ST-000028,SAIL,Steel,SAIL-PLANT-03,ST-318504,"Hydraulic Hose, SAE 100R2AT, 1 inch","Hydraulic Hose, SAE 100R2AT, 1 inch",Hydraulics,Hydraulic Hose,SAE 100R2AT,SAE 100R2AT,1 inch,National Components,MP-84458,KG,126747.24,INR,4808,40,HIGH,Rate Contract,Supplier B,2026-08-18,ACTIVE,CAN-ST-00384,NMC-ST-00384,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,SAE 100R2AT Hydraulic Hose 1 inch,SAE 100R2AT
MAT-ST-000029,MOIL,Steel,MOIL-PLANT-06,ST-800869,"Induction Motor, 415V, 30 kW","Induction Motor, 415V, 30 kW",Motors,Induction Motor,IEC 60034,415V,30 kW,Bharat Engineering,MP-85693,KG,149046.79,INR,2156,52,HIGH,Rate Contract,Supplier C,2024-08-23,BLOCKED,CAN-ST-00583,NMC-ST-00583,DUP-ST-00800,EQ-ST-00800,NEAR_DUPLICATE,1,415V Induction Motor 30 kW,IEC 60034
MAT-ST-000030,MOIL,Steel,MOIL-PLANT-04,ST-509745,EP1000/4  Conveyor  Belt  1200  mm,EP1000/4  Conveyor  Belt  1200  mm,Conveyors,Conveyor Belt,DIN 22102,EP1000/4,1200 mm,OEM Equivalent,MP-71340,LTR,59003.78,INR,276,42,CRITICAL,Rate Contract,Supplier C,2023-04-12,BLOCKED,CAN-ST-00472,NMC-ST-00472,DUP-ST-00800,EQ-ST-00800,NEAR_DUPLICATE,1,EP1000/4 Conveyor Belt 1200 mm,DIN 22102
MAT-ST-000031,RINL,Steel,RINL-PLANT-06,ST-869310,Conveyor Belt EP1000/4 1200 mm,Conveyor Belt EP1000/4 1200 mm,Conveyors,Conveyor Belt,DIN 22102,EP1000/4,1200 mm,Bharat Engineering,MP-54170,NOS,215948.79,INR,920,90,CRITICAL,Rate Contract,Supplier C,2023-03-16,BLOCKED,CAN-ST-00402,NMC-ST-00402,DUP-ST-00800,EQ-ST-00800,NEAR_DUPLICATE,1,EP1000/4 Conveyor Belt 1200 mm,DIN 22102
MAT-ST-000032,MOIL,Steel,MOIL-PLANT-05,ST-275885,415V Induction Motor DIA 30 kW,415V Induction Motor DIA 30 kW,Motors,Induction Motor,IEC 60034,415V,30 kW,National Components,MP-46095,MTR,31824.33,INR,4728,83,MEDIUM,Imported,Supplier D,2023-07-30,ACTIVE,CAN-ST-00502,NMC-ST-00502,DUP-ST-00800,EQ-ST-00800,NEAR_DUPLICATE,1,415V Induction Motor 30 kW,IEC 60034
MAT-ST-000033,NMDC,Steel,NMDC-PLANT-01,ST-694781,SAE 100R2AT Hydraulic Hose DIA 1 inch,SAE 100R2AT Hydraulic Hose DIA 1 inch,Hydraulics,Hydraulic Hose,SAE 100R2AT,SAE 100R2AT,1 inch,ABC Industries,MP-33308,LTR,168327.06,INR,1432,22,HIGH,Imported,Supplier B,2025-03-30,BLOCKED,CAN-ST-00310,NMC-ST-00310,DUP-ST-00800,EQ-ST-00800,NEAR_DUPLICATE,1,SAE 100R2AT Hydraulic Hose 1 inch,SAE 100R2AT
MAT-ST-000034,NMDC,Steel,NMDC-PLANT-04,ST-425986,Conveyor Belt - EP1000/4 - 1200 mm,Conveyor Belt - EP1000/4 - 1200 mm,Conveyors,Conveyor Belt,DIN 22102,EP1000/4,1200 mm,Precision Works,MP-74503,MTR,191076.41,INR,2899,15,MEDIUM,Rate Contract,Supplier C,2026-04-07,ACTIVE,CAN-ST-00465,NMC-ST-00465,DUP-ST-00800,EQ-ST-00800,NEAR_DUPLICATE,1,EP1000/4 Conveyor Belt 1200 mm,DIN 22102
MAT-ST-000035,MOIL,Steel,MOIL-PLANT-06,ST-131866,AL2O3 >70% HIGH ALUMINA BRICK 230X114X65 MM,AL2O3 >70% HIGH ALUMINA BRICK 230X114X65,Refractories,High Alumina Brick,IS 8,Al2O3 >70%,230x114x65 mm,OEM Equivalent,MP-71309,KG,43618.57,INR,3332,74,MEDIUM,Rate Contract,Supplier C,2023-07-13,ACTIVE,CAN-ST-00160,NMC-ST-00160,DUP-ST-00800,EQ-ST-00800,FUNCTIONALLY_EQUIVALENT,1,Al2O3 >70% High Alumina Brick 230x114x65 mm,IS 8
MAT-ST-000036,SAIL,Steel,SAIL-PLANT-01,ST-733677,Helical Gearbox - 15 kW - 20:1,Helical Gearbox - 15 kW - 20:1,Gearboxes,Helical Gearbox,IEC 60034,15 kW,20:1,Bharat Engineering,MP-98486,MTR,102012.87,INR,2246,17,MEDIUM,Rate Contract,Supplier D,2025-12-21,ACTIVE,CAN-ST-00299,NMC-ST-00299,DUP-ST-00800,EQ-ST-00800,FUNCTIONALLY_EQUIVALENT,1,15 kW Helical Gearbox 20:1,IEC 60034
MAT-ST-000037,NMDC,Steel,NMDC-PLANT-04,ST-975003,SAE 100R2AT Hydraulic Hose 1 inch,SAE 100R2AT Hydraulic Hose 1 inch,Hydraulics,Hydraulic Hose,SAE 100R2AT,SAE 100R2AT,1 inch,Bharat Engineering,MP-43307,PC,144709.11,INR,923,46,CRITICAL,Rate Contract,Supplier D,2023-04-25,BLOCKED,CAN-ST-00342,NMC-ST-00342,DUP-ST-00800,EQ-ST-00800,FUNCTIONALLY_EQUIVALENT,1,SAE 100R2AT Hydraulic Hose 1 inch,SAE 100R2AT
MAT-ST-000038,NMDC,Steel,NMDC-PLANT-01,ST-242831,"Conveyor Belt, EP1000/4, 1200 mm","Conveyor Belt, EP1000/4, 1200 mm",Conveyors,Conveyor Belt,DIN 22102,EP1000/4,1200 mm,National Components,MP-80986,KG,237649.3,INR,533,81,HIGH,Rate Contract,Supplier B,2026-04-16,ACTIVE,CAN-ST-00404,NMC-ST-00404,DUP-ST-00800,EQ-ST-00800,SIMILAR_NOT_EQUIVALENT,0,EP1000/4 Conveyor Belt 1200 mm,DIN 22102
MAT-ST-000039,RINL,Steel,RINL-PLANT-04,ST-879012,Helical Gearbox SMLS 15 kW 20:1,Helical Gearbox SMLS 15 kW 20:1,Gearboxes,Helical Gearbox,IEC 60034,15 kW,20:1,Precision Works,MP-35096,NOS,163567.28,INR,4206,69,HIGH,Domestic,Supplier B,2025-07-12,BLOCKED,CAN-ST-00270,NMC-ST-00270,DUP-ST-00800,EQ-ST-00800,SIMILAR_NOT_EQUIVALENT,0,15 kW Helical Gearbox 20:1,IEC 60034
MAT-ST-000040,SAIL,Steel,SAIL-PLANT-04,ST-717728,"Welding Electrode, E7018, 3.15 mm","Welding Electrode, E7018, 3.15 mm",Welding,Welding Electrode,AWS A5.1,E7018,3.15 mm,ABC Industries,MP-34367,KG,64058.56,INR,4295,19,LOW,Imported,Supplier A,2025-10-20,ACTIVE,CAN-ST-00755,NMC-ST-00755,DUP-ST-00800,EQ-ST-00800,UNRELATED,0,E7018 Welding Electrode 3.15 mm,AWS A5.1
MAT-ST-000041,MOIL,Steel,MOIL-PLANT-05,ST-852787,6312 ZZ Deep Groove Ball Bearing DIA 6312,6312 ZZ Deep Groove Ball Bearing DIA 631,Bearings,Deep Groove Ball Bearing,ISO 15,6312 ZZ,6312,OEM Equivalent,MP-27661,PC,193681.99,INR,3665,29,MEDIUM,Domestic,Supplier B,2023-05-10,ACTIVE,CAN-ST-00045,NMC-ST-00045,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,6312 ZZ Deep Groove Ball Bearing 6312,ISO 15
MAT-ST-000042,SAIL,Steel,SAIL-PLANT-02,ST-817679,Helical Gearbox 15 kW 20:1,Helical Gearbox 15 kW 20:1,Gearboxes,Helical Gearbox,IEC 60034,15 kW,20:1,ABC Industries,MP-81444,M,5589.61,INR,3499,60,HIGH,Domestic,Supplier D,2024-03-15,BLOCKED,CAN-ST-00273,NMC-ST-00273,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,15 kW Helical Gearbox 20:1,IEC 60034
MAT-ST-000043,RINL,Steel,RINL-PLANT-03,ST-836180,Helical Gearbox SMLS 15 kW 20:1,Helical Gearbox SMLS 15 kW 20:1,Gearboxes,Helical Gearbox,IEC 60034,15 kW,20:1,Precision Works,MP-36991,MTR,43539.2,INR,1114,17,HIGH,Rate Contract,Supplier C,2026-06-02,ACTIVE,CAN-ST-00247,NMC-ST-00247,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,15 kW Helical Gearbox 20:1,IEC 60034
MAT-ST-000044,NMDC,Steel,NMDC-PLANT-03,ST-499373,"Induction Motor, 415V, 30 kW","Induction Motor, 415V, 30 kW",Motors,Induction Motor,IEC 60034,415V,30 kW,National Components,MP-18690,PC,15089.54,INR,520,89,CRITICAL,Domestic,Supplier B,2023-02-23,ACTIVE,CAN-ST-00520,NMC-ST-00520,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,415V Induction Motor 30 kW,IEC 60034
MAT-ST-000045,RINL,Steel,RINL-PLANT-08,ST-133612,Welding Electrode E7018 3.15 mm,Welding Electrode E7018 3.15 mm,Welding,Welding Electrode,AWS A5.1,E7018,3.15 mm,Bharat Engineering,MP-21416,M,25195.51,INR,574,64,MEDIUM,Domestic,Supplier B,2023-11-03,BLOCKED,CAN-ST-00784,NMC-ST-00784,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,E7018 Welding Electrode 3.15 mm,AWS A5.1
MAT-ST-000046,RINL,Steel,RINL-PLANT-06,ST-815980,Al2O3 >70% High Alumina Brick 230x114x65 mm,Al2O3 >70% High Alumina Brick 230x114x65,Refractories,High Alumina Brick,IS 8,Al2O3 >70%,230x114x65 mm,OEM Equivalent,MP-47439,LTR,197082.74,INR,4141,68,MEDIUM,Imported,Supplier B,2023-02-27,ACTIVE,CAN-ST-00111,NMC-ST-00111,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,Al2O3 >70% High Alumina Brick 230x114x65 mm,IS 8
MAT-ST-000047,RINL,Steel,RINL-PLANT-04,ST-394472,"Conveyor Belt, EP1000/4, 1200 mm","Conveyor Belt, EP1000/4, 1200 mm",Conveyors,Conveyor Belt,DIN 22102,EP1000/4,1200 mm,Bharat Engineering,MP-59496,M,11804.33,INR,100,45,CRITICAL,Imported,Supplier B,2022-10-23,ACTIVE,CAN-ST-00467,NMC-ST-00467,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,EP1000/4 Conveyor Belt 1200 mm,DIN 22102
MAT-ST-000048,SAIL,Steel,SAIL-PLANT-05,ST-678040,15 kW Helical Gearbox 20:1,15 kW Helical Gearbox 20:1,Gearboxes,Helical Gearbox,IEC 60034,15 kW,20:1,National Components,MP-64725,PC,127127.83,INR,1306,76,LOW,Domestic,Supplier D,2025-06-14,ACTIVE,CAN-ST-00264,NMC-ST-00264,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,15 kW Helical Gearbox 20:1,IEC 60034
MAT-ST-000049,RINL,Steel,RINL-PLANT-01,ST-695073,"Induction Motor, 415V, 30 kW","Induction Motor, 415V, 30 kW",Motors,Induction Motor,IEC 60034,415V,30 kW,OEM Equivalent,MP-97510,MTR,3572.22,INR,1006,40,LOW,Domestic,Supplier A,2022-09-07,ACTIVE,CAN-ST-00571,NMC-ST-00571,DUP-ST-00800,EQ-ST-00800,NEAR_DUPLICATE,1,415V Induction Motor 30 kW,IEC 60034
MAT-ST-000050,SAIL,Steel,SAIL-PLANT-01,ST-815820,Helical Gearbox 15 kW 20:1,Helical Gearbox 15 kW 20:1,Gearboxes,Helical Gearbox,IEC 60034,15 kW,20:1,National Components,MP-12696,MTR,182170.55,INR,4791,19,LOW,Rate Contract,Supplier B,2022-10-02,ACTIVE,CAN-ST-00219,NMC-ST-00219,DUP-ST-00800,EQ-ST-00800,NEAR_DUPLICATE,1,15 kW Helical Gearbox 20:1,IEC 60034
MAT-ST-000051,SAIL,Steel,SAIL-PLANT-02,ST-525041,CS Process Pump 80 m3/h,CS Process Pump 80 m3/h,Pumps,Process Pump,API 610,CS,80 m3/h,OEM Equivalent,MP-38310,MTR,93528.24,INR,2059,26,MEDIUM,Domestic,Supplier B,2023-01-20,ACTIVE,CAN-ST-00663,NMC-ST-00663,DUP-ST-00800,EQ-ST-00800,NEAR_DUPLICATE,1,CS Process Pump 80 m3/h,API 610
MAT-ST-000052,SAIL,Steel,SAIL-PLANT-01,ST-999776,"INDUCTION MOTOR, 415V, 30 KW","INDUCTION MOTOR, 415V, 30 KW",Motors,Induction Motor,IEC 60034,415V,30 kW,National Components,MP-99426,KG,191487.14,INR,609,34,LOW,Rate Contract,Supplier B,2026-06-03,ACTIVE,CAN-ST-00596,NMC-ST-00596,DUP-ST-00800,EQ-ST-00800,NEAR_DUPLICATE,1,415V Induction Motor 30 kW,IEC 60034
MAT-ST-000053,NMDC,Steel,NMDC-PLANT-07,ST-126154,15 kW Helical Gearbox DIA 20:1,15 kW Helical Gearbox DIA 20:1,Gearboxes,Helical Gearbox,IEC 60034,15 kW,20:1,ABC Industries,MP-46701,LTR,227652.4,INR,3398,64,LOW,Rate Contract,Supplier A,2024-10-05,BLOCKED,CAN-ST-00205,NMC-ST-00205,DUP-ST-00800,EQ-ST-00800,NEAR_DUPLICATE,1,15 kW Helical Gearbox 20:1,IEC 60034
