source_material_code,cpse_id,plant_code,raw_description,cleaned_description,cnmc_code,canonical_description,category_id,standard_uom,source_uom,match_type,match_confidence,review_status,issue_flag,unit_price_inr,current_stock_qty,annual_procurement_qty
SA-10052,SAIL_ST,SAIL_BHILAI,Globe Valve Cast Steel 100NB Class 150,globe valve cast steel 100nb class 150,NMC-GEN-VLV-0002,Globe 100NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,22862.3,72,153
CI-10053,CIL_MN,CIL_SINGRAULI,Globe Valve Cast Steel 100NB Class 150,globe valve cast steel 100nb class 150,NMC-GEN-VLV-0002,Globe 100NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,24947.52,2,7
BH-10054,BHEL_HE,BHEL_HYDERABAD,Globe Valve Cast Steel 100NB Class 150,globe valve cast steel 100nb class 150,NMC-GEN-VLV-0002,Globe 100NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,25386.32,9,19
CP-10060,CPCL_OG,CPCL_MANALI,Ball Valve 50NB Class 300,ball valve 50nb class 300,NMC-GEN-VLV-0003,Ball 50NB Class 300 Stainless Steel 316 API 608,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,20682.42,6,26
NT-10061,NTPC_PW,NTPC_SINGRAULI,Ball Valve 50NB Class 300,ball valve 50nb class 300,NMC-GEN-VLV-0003,Ball 50NB Class 300 Stainless Steel 316 API 608,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,20693.83,32,87
SA-10062,SAIL_ST,SAIL_BHILAI,Ball Valve 50NB Class 300,ball valve 50nb class 300,NMC-GEN-VLV-0003,Ball 50NB Class 300 Stainless Steel 316 API 608,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,22667.63,29,152
CI-10063,CIL_MN,CIL_SINGRAULI,Ball Valve 50NB Class 300,ball valve 50nb class 300,NMC-GEN-VLV-0003,Ball 50NB Class 300 Stainless Steel 316 API 608,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,20896.63,75,332
BH-10064,BHEL_HE,BHEL_HYDERABAD,Ball Valve 50NB Class 300,ball valve 50nb class 300,NMC-GEN-VLV-0003,Ball 50NB Class 300 Stainless Steel 316 API 608,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,22019.81,62,239
SA-10072,SAIL_ST,SAIL_BHILAI,S/W GASKET 150NB Class 150 SS316 Graphite,s w gasket 150nb class 150 stainless steel 316 graphite,NMC-GEN-GSK-0001,Spiral 150NB Class 150 Stainless Steel 316 ASME B16.20,GASKETS_SEALS,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,4450.22,8,48
CI-10073,CIL_MN,CIL_SINGRAULI,SP WDG GASKET 150NB Class 150 SS316 Graphite,sp wdg gasket 150nb class 150 stainless steel 316 graphite,NMC-GEN-GSK-0001,Spiral 150NB Class 150 Stainless Steel 316 ASME B16.20,GASKETS_SEALS,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,4317.68,14,14
BH-10074,BHEL_HE,BHEL_HYDERABAD,SPIRAL WOUND GSK 150NB Class 150 SS316 Graphite,spiral wound gasket 150nb class 150 stainless steel 316 graphite,NMC-GEN-GSK-0001,Spiral 150NB Class 150 Stainless Steel 316 ASME B16.20,GASKETS_SEALS,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,4159.65,45,226
CP-10070,CPCL_OG,CPCL_MANALI,SP WOUND GSKT 150NB Class 150 SS316 Graphite,sp wound gasket 150nb class 150 stainless steel 316 graphite,NMC-GEN-GSK-0001,Spiral 150NB Class 150 Stainless Steel 316 ASME B16.20,GASKETS_SEALS,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,4025.96,14,62
NT-10071,NTPC_PW,NTPC_SINGRAULI,SPIRAL WOUND GASKET 150NB Class 150 SS316 Graphite,spiral wound gasket 150nb class 150 stainless steel 316 graphite,NMC-GEN-GSK-0001,Spiral 150NB Class 150 Stainless Steel 316 ASME B16.20,GASKETS_SEALS,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,4129.21,54,266
CP-10080,CPCL_OG,CPCL_MANALI,SP WOUND GSKT 100NB Class 150 SS316 Graphite,sp wound gasket 100nb class 150 stainless steel 316 graphite,NMC-GEN-GSK-0002,Spiral 100NB Class 150 Stainless Steel 316 ASME B16.20,GASKETS_SEALS,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,3389.6,33,65
NT-10081,NTPC_PW,NTPC_SINGRAULI,SPIRAL WOUND GASKET 100NB Class 150 SS316 Graphite,spiral wound gasket 100nb class 150 stainless steel 316 graphite,NMC-GEN-GSK-0002,Spiral 100NB Class 150 Stainless Steel 316 ASME B16.20,GASKETS_SEALS,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,3067.3,59,100
SA-10082,SAIL_ST,SAIL_BHILAI,S/W GASKET 100NB Class 150 SS316 Graphite,s w gasket 100nb class 150 stainless steel 316 graphite,NMC-GEN-GSK-0002,Spiral 100NB Class 150 Stainless Steel 316 ASME B16.20,GASKETS_SEALS,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,3178.5,37,136
CI-10083,CIL_MN,CIL_SINGRAULI,SP WDG GASKET 100NB Class 150 SS316 Graphite,sp wdg gasket 100nb class 150 stainless steel 316 graphite,NMC-GEN-GSK-0002,Spiral 100NB Class 150 Stainless Steel 316 ASME B16.20,GASKETS_SEALS,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,3095.91,11,33
BH-10084,BHEL_HE,BHEL_HYDERABAD,SPIRAL WOUND GSK 100NB Class 150 SS316 Graphite,spiral wound gasket 100nb class 150 stainless steel 316 graphite,NMC-GEN-GSK-0002,Spiral 100NB Class 150 Stainless Steel 316 ASME B16.20,GASKETS_SEALS,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,3363.85,72,86
CP-10090,CPCL_OG,CPCL_MANALI,Induction Motor 15kW 4P TEFC,induction motor 15kw 4p totally enclosed fan cooled,NMC-GEN-MOT-0001,Induction Motor 15Kw 4P Totally Enclosed Fan Cooled,MOTORS_DRIVES,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,48754.59,71,42
NT-10091,NTPC_PW,NTPC_SINGRAULI,Induction Motor 15kW 4P TEFC,induction motor 15kw 4p totally enclosed fan cooled,NMC-GEN-MOT-0001,Induction Motor 15Kw 4P Totally Enclosed Fan Cooled,MOTORS_DRIVES,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,55918.17,32,58
SA-10092,SAIL_ST,SAIL_BHILAI,Induction Motor 15kW 4P TEFC,induction motor 15kw 4p totally enclosed fan cooled,NMC-GEN-MOT-0001,Induction Motor 15Kw 4P Totally Enclosed Fan Cooled,MOTORS_DRIVES,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,51530.03,63,140
CI-10093,CIL_MN,CIL_SINGRAULI,Induction Motor 15kW 4P TEFC,induction motor 15kw 4p totally enclosed fan cooled,NMC-GEN-MOT-0001,Induction Motor 15Kw 4P Totally Enclosed Fan Cooled,MOTORS_DRIVES,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,55104.27,9,15
BH-10094,BHEL_HE,BHEL_HYDERABAD,Induction Motor 15kW 4P TEFC,induction motor 15kw 4p totally enclosed fan cooled,NMC-GEN-MOT-0001,Induction Motor 15Kw 4P Totally Enclosed Fan Cooled,MOTORS_DRIVES,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,51315.99,51,160
CP-10100,CPCL_OG,CPCL_MANALI,Induction Motor 30kW 4P TEFC,induction motor 30kw 4p totally enclosed fan cooled,NMC-GEN-MOT-0002,Induction Motor 30Kw 4P Totally Enclosed Fan Cooled,MOTORS_DRIVES,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,91932.08,60,176
NT-10101,NTPC_PW,NTPC_SINGRAULI,Induction Motor 30kW 4P TEFC,induction motor 30kw 4p totally enclosed fan cooled,NMC-GEN-MOT-0002,Induction Motor 30Kw 4P Totally Enclosed Fan Cooled,MOTORS_DRIVES,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,85436.8,73,374
SA-10102,SAIL_ST,SAIL_BHILAI,Induction Motor 30kW 4P TEFC,induction motor 30kw 4p totally enclosed fan cooled,NMC-GEN-MOT-0002,Induction Motor 30Kw 4P Totally Enclosed Fan Cooled,MOTORS_DRIVES,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,89247.47,21,34
CI-10103,CIL_MN,CIL_SINGRAULI,Induction Motor 30kW 4P TEFC,induction motor 30kw 4p totally enclosed fan cooled,NMC-GEN-MOT-0002,Induction Motor 30Kw 4P Totally Enclosed Fan Cooled,MOTORS_DRIVES,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,83807.53,9,42
BH-10104,BHEL_HE,BHEL_HYDERABAD,Induction Motor 30kW 4P TEFC,induction motor 30kw 4p totally enclosed fan cooled,NMC-GEN-MOT-0002,Induction Motor 30Kw 4P Totally Enclosed Fan Cooled,MOTORS_DRIVES,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,89471.01,9,52
CP-10110,CPCL_OG,CPCL_MANALI,Induction Motor 75kW 4P TEFC,induction motor 75kw 4p totally enclosed fan cooled,NMC-GEN-MOT-0003,Induction Motor 75Kw 4P Totally Enclosed Fan Cooled,MOTORS_DRIVES,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,170982.13,8,42
NT-10111,NTPC_PW,NTPC_SINGRAULI,Induction Motor 75kW 4P TEFC,induction motor 75kw 4p totally enclosed fan cooled,NMC-GEN-MOT-0003,Induction Motor 75Kw 4P Totally Enclosed Fan Cooled,MOTORS_DRIVES,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,175265.7,69,114
SA-10112,SAIL_ST,SAIL_BHILAI,Induction Motor 75kW 4P TEFC,induction motor 75kw 4p totally enclosed fan cooled,NMC-GEN-MOT-0003,Induction Motor 75Kw 4P Totally Enclosed Fan Cooled,MOTORS_DRIVES,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,164243.09,67,74
CI-10113,CIL_MN,CIL_SINGRAULI,Induction Motor 75kW 4P TEFC,induction motor 75kw 4p totally enclosed fan cooled,NMC-GEN-MOT-0003,Induction Motor 75Kw 4P Totally Enclosed Fan Cooled,MOTORS_DRIVES,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,185097.74,10,43
BH-10114,BHEL_HE,BHEL_HYDERABAD,Induction Motor 75kW 4P TEFC,induction motor 75kw 4p totally enclosed fan cooled,NMC-GEN-MOT-0003,Induction Motor 75Kw 4P Totally Enclosed Fan Cooled,MOTORS_DRIVES,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,164533.97,32,119
CP-50120,CPCL_OG,CPCL_MANALI,Cable 11kV 3C x 400 sqmm Al,cable 11kv 3c x 400 sqmm aluminium,NMC-GEN-CBL-0001,11Kv Aluminium IS 7098,CABLES_CONDUCTORS,MTR,MTR,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,1895.61,45,227
SA-50122,SAIL_ST,SAIL_BHILAI,Cable 11kV 3C x 400 sqmm Al,cable 11kv 3c x 400 sqmm aluminium,NMC-GEN-CBL-0001,11Kv Aluminium IS 7098,CABLES_CONDUCTORS,MTR,MTR,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,1857.44,24,40
BH-50124,BHEL_HE,BHEL_HYDERABAD,Cable 11kV 3C x 400 sqmm Al,cable 11kv 3c x 400 sqmm aluminium,NMC-GEN-CBL-0001,11Kv Aluminium IS 7098,CABLES_CONDUCTORS,MTR,MTR,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,1822.55,75,296
